timestamp,alerts,access_attempts,camera_status,system_health,uptime,status
2025-08-07 19:28:03.487356,0,59,1,96.45234941973277,0.9824878618675279,secure
2025-08-07 19:33:03.487356,0,131,1,90.89417215242315,0.9974211282983309,secure
2025-08-07 19:38:03.487356,0,116,1,90.50288799666794,0.9896791018738261,secure
2025-08-07 19:43:03.487356,0,98,1,90.09784760127256,0.990785515544997,secure
2025-08-07 19:48:03.487356,0,114,1,95.34391031766556,0.9985519157608207,secure
2025-08-07 19:53:03.487356,0,144,1,95.14873170197177,0.9902138264662268,secure
2025-08-07 19:58:03.487356,0,135,1,95.68217764820375,0.9936077551099418,secure
2025-08-07 20:03:03.487356,0,51,1,90.0021933456078,0.9897653127694013,secure
2025-08-07 20:08:03.487356,0,136,1,98.65341333112768,0.9964262669110308,secure
2025-08-07 20:13:03.487356,0,54,1,91.65358621191204,0.9804059362462156,secure
2025-08-07 20:18:03.487356,0,99,1,90.87527372834322,0.9882938780585299,secure
2025-08-07 20:23:03.487356,0,104,1,96.83526588396194,0.9895956462833367,secure
2025-08-07 20:28:03.487356,0,77,1,94.84390318624439,0.9917040206490595,secure
2025-08-07 20:33:03.487356,0,79,1,94.44539637140488,0.9912337398428188,secure
2025-08-07 20:38:03.487356,0,114,1,97.24196654875755,0.9807459743374944,secure
2025-08-07 20:43:03.487356,0,87,1,92.74785088410118,0.9948479471337692,secure
2025-08-07 20:48:03.487356,0,61,1,95.41372512851348,0.9879394127490254,secure
2025-08-07 20:53:03.487356,0,74,1,90.87076775451327,0.9940779367728804,secure
2025-08-07 20:58:03.487356,0,69,1,92.24879724581248,0.9979166823593605,secure
2025-08-07 21:03:03.487356,0,99,1,91.23403592487043,0.9971606668902693,secure
2025-08-07 21:08:03.487356,0,107,1,90.5002270160602,0.9892409140712651,secure
2025-08-07 21:13:03.487356,0,60,1,99.75616409073292,0.9902722106673654,secure
2025-08-07 21:18:03.487356,0,111,1,93.17931667015245,0.9967008104780425,secure
2025-08-07 21:23:03.487356,0,52,1,93.50325612100777,0.9966560450889725,secure
2025-08-07 21:28:03.487356,0,145,1,95.7679656106324,0.9866169488337785,secure
2025-08-07 21:33:03.487356,0,140,1,92.5038777442892,0.9907823620379135,secure
2025-08-07 21:38:03.487356,0,120,1,96.75053464287049,0.987418709271617,secure
2025-08-07 21:43:03.487356,0,133,1,91.803130337792,0.9944256345948249,secure
2025-08-07 21:48:03.487356,0,112,1,99.6178751047799,0.9898640482575239,secure
2025-08-07 21:53:03.487356,0,54,1,90.57025288204898,0.9943849725168245,secure
2025-08-07 21:58:03.487356,0,110,1,98.33528859159406,0.9917962882974388,secure
2025-08-07 22:03:03.487356,0,75,1,95.93878645017949,0.9959379843363023,secure
2025-08-07 22:08:03.487356,0,65,1,90.13957911804702,0.9855709090595566,secure
2025-08-07 22:13:03.487356,0,107,1,91.03213354081906,0.9800639481633009,secure
2025-08-07 22:18:03.487356,0,94,1,94.69859662068906,0.9974803524258434,secure
2025-08-07 22:23:03.487356,0,61,1,92.45505415685216,0.98928524171042,secure
2025-08-07 22:28:03.487356,0,127,1,93.37817663275581,0.992386405960538,secure
2025-08-07 22:33:03.487356,0,136,1,93.70288417499536,0.9959336908736214,secure
2025-08-07 22:38:03.487356,1,146,1,96.73159366226928,0.9839401152023232,alert
2025-08-07 22:43:03.487356,0,79,1,94.40231098735953,0.9945773676938806,secure
2025-08-07 22:48:03.487356,0,146,1,92.22096190035406,0.9879925154539166,secure
2025-08-07 22:53:03.487356,0,117,1,91.81024512957799,0.9823812507565335,secure
2025-08-07 22:58:03.487356,0,64,1,99.69010156126595,0.9953052736050142,secure
2025-08-07 23:03:03.487356,0,94,1,98.9289650958482,0.9839429629101437,secure
2025-08-07 23:08:03.487356,0,131,1,94.96922831584017,0.98677935224176,secure
